(31	0	0.000000)
(33	1	0.000000)
(33	2	0.000000)
(35	3	0.000000)
(35	4	0.000000)
(37	5	0.000000)
(37	6	0.000000)
(39	7	0.000000)
(39	8	0.000000)
(41	9	0.000000)
(41	11	0.000000)
(43	13	0.000000)
(43	15	0.000000)
(45	17	0.000000)
(45	19	0.000000)
(47	21	0.000000)
(47	23	0.000000)
(49	25	0.000000)
(49	27	0.000000)
(51	29	0.000000)
(51	31	0.000000)
(53	33	0.000000)
(53	35	0.000000)
(55	37	0.000000)
(55	39	0.000000)
(57	41	0.000000)
(57	43	0.000000)
(59	45	0.000000)
(59	47	0.000000)
(61	49	0.000000)
(61	51	0.000000)
(63	53	0.000000)
(63	55	0.000000)
(65	57	0.000000)
(65	59	0.000000)
(67	61	0.000000)
(67	63	0.000000)
(69	65	0.000000)
(69	67	0.000000)
(71	69	0.000000)
(71	71	0.000000)
(73	73	0.000000)
(73	75	0.000000)
(75	77	0.000000)
(75	79	0.000000)
(77	81	0.000000)
(77	83	0.000000)
(79	85	0.000000)
(79	87	0.000000)
(81	89	0.000000)
(81	91	0.000000)
(83	93	0.000000)
(83	95	0.000000)
(85	97	0.000000)
(85	99	0.000000)
(87	101	0.000000)
(87	103	0.000000)
(89	105	0.000000)
(89	107	0.000000)
(91	109	0.000000)
(91	111	0.000000)
(93	113	0.000000)
(93	115	0.000000)
(95	117	0.000000)
(95	119	0.000000)
(97	121	0.000000)
(97	123	0.000000)
(99	125	0.000000)
(99	127	0.000000)
(101	129	0.000000)
(101	131	0.000000)
(103	133	0.000000)
(103	135	0.000000)
(105	137	0.000000)
(105	139	0.000000)
(107	141	0.000000)
(107	143	0.000000)
(109	145	0.000000)
(109	147	0.000000)
(111	149	0.000000)
(111	151	0.000000)
(113	153	0.000000)
(113	155	0.000000)
(115	157	0.000000)
(115	159	0.000000)
(117	161	0.000000)
(117	163	0.000000)
(119	165	0.000000)
(119	167	0.000000)
(121	169	0.000000)
(121	170	0.000000)
(123	171	0.000000)
(123	172	0.000000)
(125	173	0.000000)
(125	174	0.000000)
(127	175	0.000000)
(127	176	0.000000)
(129	177	0.000000)
(129	178	0.000000)
(131	179	0.000000)
(131	280	0.000000)
(133	61	0.000000)
(133	71	0.000000)
(135	62	0.000000)
(135	72	0.000000)
(137	63	0.000000)
(137	73	0.000000)
(139	64	0.000000)
(139	74	0.000000)
(141	65	0.000000)
(141	75	0.000000)
(143	66	0.000000)
(143	76	0.000000)
(145	67	0.000000)
(145	77	0.000000)
(147	68	0.000000)
(147	78	0.000000)
(149	69	0.000000)
(149	79	0.000000)
(151	70	0.000000)
(151	80	0.000000)
(153	71	0.000000)
(153	81	0.000000)
(155	72	0.000000)
(155	82	0.000000)
(157	73	0.000000)
(157	83	0.000000)
(159	74	0.000000)
(159	84	0.000000)
(161	75	0.000000)
(161	85	0.000000)
(163	76	0.000000)
(163	86	0.000000)
(165	77	0.000000)
(165	87	0.000000)
(167	78	0.000000)
(167	88	0.000000)
(169	79	0.000000)
(170	80	0.000000)
(171	81	0.000000)
(172	82	0.000000)
(173	83	0.000000)
(174	84	0.000000)
(175	85	0.000000)
(176	86	0.000000)
(177	87	0.000000)
(178	88	0.000000)
(179	89	0.000000)
(179	99	0.000000)
(179	0	0.000000)
(179	0	0.000000)
(179	0	0.000000)
(179	0	0.000000)
(179	0	0.000000)
(179	0	0.000000)
(179	0	0.000000)
(179	0	0.000000)
(179	0	0.000000)
(179	0	0.000000)
(179	0	0.000000)
(179	0	0.000000)
(179	0	0.000000)
(179	0	0.000000)
(179	0	0.000000)
